陕西,#genre#
湖北卫视,http://36.46.98.174:8025/udp/239.109.205.165:9006
湖北卫视,http://36.46.98.174:8025/udp/239.112.205.69:5140$陕西电信
陕西卫视,http://36.46.98.174:8025/udp/239.111.205.35:5140$陕西电信
东南卫视,http://36.46.98.174:8025/udp/239.109.205.177:9626
东南卫视,http://36.46.98.174:8025/udp/239.112.205.182:5140$陕西电信
吉林卫视,http://36.46.98.174:8025/udp/239.109.205.115:8856
吉林卫视,http://36.46.98.174:8025/udp/239.112.205.183:5140$陕西电信
辽宁卫视,http://36.46.98.174:8025/udp/239.110.205.12:9794
辽宁卫视,http://36.46.98.174:8025/udp/239.112.205.73:5140$陕西电信
湖南卫视,http://36.46.98.174:8025/udp/239.112.205.62:5140$陕西电信
广东卫视,http://36.46.98.174:8025/udp/239.109.205.188:9610
广东卫视,http://36.46.98.174:8025/udp/239.112.205.66:5140$陕西电信
河南卫视,http://36.46.98.174:8025/udp/239.109.205.140:9026
河南卫视,http://36.46.98.174:8025/udp/239.112.205.180:5140$陕西电信
河北卫视,http://36.46.98.174:8025/udp/239.112.205.200:5140$陕西电信
河北卫视,http://36.46.98.174:8025/udp/239.109.205.158:9106
宁夏卫视,http://36.46.98.174:8025/udp/239.111.205.61:5140$陕西电信
宁夏卫视,http://36.46.98.174:8025/udp/239.110.205.93:7904
宁夏卫视,http://36.46.98.174:8025/udp/239.110.205.94:7900
甘肃卫视,http://36.46.98.174:8025/udp/239.111.205.88:5140$陕西电信
青海卫视,http://36.46.98.174:8025/udp/239.111.205.105:5140$陕西电信
青海卫视,http://36.46.98.174:8025/udp/239.109.205.77:8552
新疆卫视,http://36.46.98.174:8025/udp/239.111.205.59:5140$陕西电信
新疆卫视,http://36.46.98.174:8025/udp/239.110.205.95:7896
西藏卫视,http://36.46.98.174:8025/udp/239.111.205.58:5140$陕西电信
兵团卫视,http://36.46.98.174:8025/udp/239.110.205.92:7908
兵团卫视,http://36.46.98.174:8025/udp/239.111.205.60:5140$陕西电信
北京纪实科教,http://36.46.98.174:8025/udp/239.111.205.55:5140$陕西电信
欢笑剧场,http://36.46.98.174:8025/udp/239.109.205.51:8344
欢笑剧场,http://36.46.98.174:8025/udp/239.112.205.236:5140$陕西电信
IPTV3,http://36.46.98.174:8025/udp/239.109.205.197:9650
IPTV5,http://36.46.98.174:8025/udp/239.109.205.211:9184
IPTV6,http://36.46.98.174:8025/udp/239.109.205.198:9654
IPTV8,http://36.46.98.174:8025/udp/239.109.205.199:9658
IPTV相声小品,http://36.46.98.174:8025/udp/239.109.205.212:9192
爱生活,http://36.46.98.174:8025/udp/239.110.205.55:9946
爱生活,http://36.46.98.174:8025/udp/239.112.205.234:5140$陕西电信
高网,http://36.46.98.174:8025/udp/239.110.205.16:9810
足球,http://36.46.98.174:8025/udp/239.110.205.25:9846
足球,http://36.46.98.174:8025/udp/239.112.205.127:5140$陕西电信
FXTV,http://36.46.98.174:8025/udp/239.111.205.244:5140$陕西电信
IPTV3＋,http://36.46.98.174:8025/udp/239.112.205.116:5140$陕西电信
IPTV6＋,http://36.46.98.174:8025/udp/239.112.205.118:5140$陕西电信
IPTV8＋,http://36.46.98.174:8025/udp/239.112.205.119:5140$陕西电信
农林卫视,http://36.46.98.174:8025/udp/239.110.205.88:7924
农林卫视,http://36.46.98.174:8025/udp/239.112.205.26:5140$陕西电信
电影,http://36.46.98.174:8025/udp/239.112.205.90:5140$陕西电信
百事直播,http://36.46.98.174:8025/udp/239.111.205.20:5140$陕西电信
百事直播,http://36.46.98.174:8025/udp/239.111.205.21:5140$陕西电信
百事直播,http://36.46.98.174:8025/udp/239.111.205.23:5140$陕西电信
百事直播,http://36.46.98.174:8025/udp/239.111.205.25:5140$陕西电信
百事直播,http://36.46.98.174:8025/udp/239.111.205.43:5140$陕西电信
百事通直播,http://36.46.98.174:8025/udp/239.109.205.170:9612
百事通直播,http://36.46.98.174:8025/udp/239.109.205.171:9614
百事通直播,http://36.46.98.174:8025/udp/239.109.205.172:9616
百事通直播,http://36.46.98.174:8025/udp/239.109.205.173:9618
百事通直播,http://36.46.98.174:8025/udp/239.109.205.174:9620
百事通直播,http://36.46.98.174:8025/udp/239.109.205.175:9622
百事通直播,http://36.46.98.174:8025/udp/239.109.205.176:9624
百事通直播,http://36.46.98.174:8025/udp/239.109.205.219:9714
百事通直播,http://36.46.98.174:8025/udp/239.109.205.220:9718
百事通直播,http://36.46.98.174:8025/udp/239.109.205.221:9722
百事通直播,http://36.46.98.174:8025/udp/239.111.205.22:5140$陕西电信
百事通直播,http://36.46.98.174:8025/udp/239.111.205.24:5140$陕西电信
百事通直播,http://36.46.98.174:8025/udp/239.111.205.26:5140$陕西电信
百事通直播,http://36.46.98.174:8025/udp/239.111.205.44:5140$陕西电信
百事通直播,http://36.46.98.174:8025/udp/239.111.205.45:5140$陕西电信
足球频道,http://36.46.98.174:8025/udp/239.110.205.89:7920
CCTV1,http://36.46.98.174:8025/udp/239.111.205.9:5140$陕西电信
CCTV1,http://36.46.98.174:8025/udp/239.111.205.89:5140$陕西电信
CCTV1,http://36.46.98.174:8025/udp/239.109.205.9:8000
CCTV2,http://36.46.98.174:8025/udp/239.109.205.10:8008
CCTV2,http://36.46.98.174:8025/udp/239.112.205.2:5140$陕西电信
CCTV3,http://36.46.98.174:8025/udp/239.109.205.73:8520
CCTV3,http://36.46.98.174:8025/udp/239.112.205.225:5140$陕西电信
CCTV4,http://36.46.98.174:8025/udp/239.109.205.11:8016
CCTV4,http://36.46.98.174:8025/udp/239.112.205.4:5140$陕西电信
CCTV5,http://36.46.98.174:8025/udp/239.112.205.226:5140$陕西电信
CCTV6,http://36.46.98.174:8025/udp/239.109.205.83:8600
CCTV6,http://36.46.98.174:8025/udp/239.112.205.227:5140$陕西电信
CCTV7,http://36.46.98.174:8025/udp/239.109.205.12:8024
CCTV7,http://36.46.98.174:8025/udp/239.112.205.7:5140$陕西电信
CCTV8,http://36.46.98.174:8025/udp/239.112.205.228:5140$陕西电信
CCTV8,http://36.46.98.174:8025/udp/239.109.205.141:9028
CCTV9,http://36.46.98.174:8025/udp/239.112.205.9:5140$陕西电信
CCTV9,http://36.46.98.174:8025/udp/239.110.205.1:9750
CCTV10,http://36.46.98.174:8025/udp/239.109.205.14:8040
CCTV10,http://36.46.98.174:8025/udp/239.112.205.10:5140$陕西电信
CCTV11,http://36.46.98.174:8025/udp/239.112.205.11:5140$陕西电信
CCTV11,http://36.46.98.174:8025/udp/239.109.205.15:8048
CCTV12,http://36.46.98.174:8025/udp/239.112.205.12:5140$陕西电信
CCTV12,http://36.46.98.174:8025/udp/239.109.205.16:8056
CCTV13,http://36.46.98.174:8025/udp/239.112.205.13:5140$陕西电信
